,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
9,AED,Female,Egypt,30,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,A health science,6 to 10 years,Java,NA,0.272256,NA
3,AED,Male,Germany,38,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,NA,3 to 5 years,R,0,0.272256,0
4,AED,Male,Hong Kong,20,Employed part-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,Less than a year,R,1,0.272256,0.272256
1,AED,Male,Other,42,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,6 to 10 years,R,30000,0.272256,8167.68
5,AED,Male,Other,32,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Other,3 to 5 years,Python,75000,0.272256,20419.2
6,AED,Male,Other,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Physics,3 to 5 years,Python,260000,0.272256,70786.56
7,AED,Male,Other,33,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Electrical Engineering,1 to 2 years,Python,20000,0.272256,5445.12
2,AED,Male,China,28,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by college or university,Yes,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,Python,5000,0.272256,1361.28
10,AED,Male,China,22,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,Less than a year,C/C++/C#,20000,0.272256,5445.12
11,AED,Male,China,24,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by government,Yes,I did not complete any formal education past high school,NA,1 to 2 years,Python,0,0.272256,0
8,AED,Male,South Africa,38,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,SQL,10000,0.272256,2722.56
12,AFN,Male,India,25,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Python,10.9,0.01457,0.158813
13,AFN,Male,Poland,25,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Poorly,Self-employed,NA,Bachelor's degree,Computer Science,3 to 5 years,NA,1.00E+05,0.01457,1457
15,ALL,Male,India,29,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Engineering (non-computer focused),Less than a year,R,0,0.008956,0
16,ALL,Female,India,23,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Mathematics or statistics,Less than a year,SQL,180000,0.008956,1612.08
20,ALL,Male,Mexico,45,Employed part-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,Less than a year,Python,1000,0.008956,8.956
14,ALL,Male,China,24,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Master's degree,Electrical Engineering,Less than a year,Scala,100,0.008956,0.8956
17,ALL,Male,China,25,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Master's degree,Mathematics or statistics,Less than a year,Python,NA,0.008956,NA
18,ALL,Male,China,27,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,12000,0.008956,107.472
19,ALL,Male,China,25,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",Yes,Master's degree,NA,Less than a year,Python,20000,0.008956,179.12
21,AMD,Male,Other,24,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by government,Sort of (Explain more),Master's degree,Other,1 to 2 years,Stata,3.00E+06,0.00209,6270
23,AMD,Male,Other,29,Employed full-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Physics,Less than a year,Python,4.00E+06,0.00209,8360
22,AMD,Male,United States,45,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Mathematics or statistics,More than 10 years,Python,130000,0.00209,271.7
24,AMD,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Doctoral degree,A social science,3 to 5 years,R,75000,0.00209,156.75
25,AMD,Male,United States,40,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Poorly,Employed by non-profit or NGO,No,Doctoral degree,Physics,More than 10 years,Other,1.00E+11,0.00209,2.09E+08
26,ARS,Male,Argentina,24,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,247000,0.058444,14435.668
27,ARS,Male,Argentina,25,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,24000,0.058444,1402.656
28,ARS,Male,Argentina,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,"Information technology, networking, or system administration",More than 10 years,R,585000,0.058444,34189.74
29,ARS,Male,Argentina,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Some college/university study without earning a bachelor's degree,I never declared a major,3 to 5 years,R,40000,0.058444,2337.76
30,ARS,Male,Argentina,24,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Python,504000,0.058444,29455.776
31,ARS,Male,Argentina,39,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Professional degree,NA,6 to 10 years,R,1.00E+06,0.058444,58444
32,ARS,Female,Argentina,33,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,3 to 5 years,R,32000,0.058444,1870.208
33,ARS,Male,Argentina,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by professional services/consulting firm,NA,Master's degree,Mathematics or statistics,6 to 10 years,Python,730000,0.058444,42664.12
34,ARS,Male,Argentina,37,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,5.00E+05,0.058444,29222
35,ARS,Male,Argentina,38,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by government,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,Python,360000,0.058444,21039.84
36,ARS,Male,Argentina,48,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,SQL,6.00E+05,0.058444,35066.4
37,ARS,Male,Argentina,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Engineering (non-computer focused),1 to 2 years,Python,390000,0.058444,22793.16
38,ARS,Female,Argentina,33,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by professional services/consulting firm,Yes,Professional degree,NA,6 to 10 years,Python,40000,0.058444,2337.76
39,ARS,Male,Argentina,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Professional degree,NA,1 to 2 years,R,NA,0.058444,NA
41,ARS,Male,Argentina,32,Employed full-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by professional services/consulting firm,Yes,Master's degree,NA,3 to 5 years,R,520000,0.058444,30390.88
42,ARS,Male,Argentina,25,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,546000,0.058444,31910.424
40,ARS,Male,France,22,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,Less than a year,SQL,500,0.058444,29.222
43,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Computer Science,More than 10 years,SQL,165000,0.80231,132381.15
44,AUD,Male,Australia,35,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Computer Science,3 to 5 years,SQL,131500,0.80231,105503.765
45,AUD,Female,Australia,37,Employed part-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,NA,3 to 5 years,SQL,55000,0.80231,44127.05
46,AUD,Male,Australia,24,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by government,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,R,70000,0.80231,56161.7
47,AUD,Male,Australia,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,More than 10 years,R,170000,0.80231,136392.7
48,AUD,Male,Australia,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,Python,160000,0.80231,128369.6
49,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,"Employed by a company that performs advanced analytics,Employed by government",No,Master's degree,Electrical Engineering,More than 10 years,Python,120000,0.80231,96277.2
50,AUD,Male,Australia,37,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by government,Sort of (Explain more),Master's degree,Physics,More than 10 years,Other,75000,0.80231,60173.25
51,AUD,Male,Australia,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Electrical Engineering,Less than a year,Python,86000,0.80231,68998.66
52,AUD,Male,Australia,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Bachelor's degree,Mathematics or statistics,3 to 5 years,R,130000,0.80231,104300.3
53,AUD,Female,Australia,57,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",No,Master's degree,Mathematics or statistics,More than 10 years,R,150000,0.80231,120346.5
54,AUD,Female,Australia,31,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Bachelor's degree,Physics,3 to 5 years,Python,125,0.80231,100.28875
55,AUD,Male,Australia,24,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,98000,0.80231,78626.38
56,AUD,Male,Australia,50,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Miner,Fine,Self-employed,Sort of (Explain more),Master's degree,Mathematics or statistics,More than 10 years,Python,310000,0.80231,248716.1
57,AUD,Male,Australia,43,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by government,Yes,Master's degree,Psychology,More than 10 years,R,110,0.80231,88.2541
58,AUD,Male,Australia,32,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,Electrical Engineering,More than 10 years,R,137000,0.80231,109916.47
59,AUD,Female,Australia,27,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Electrical Engineering,1 to 2 years,Python,50000,0.80231,40115.5
60,AUD,Female,Australia,32,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,3 to 5 years,R,70000,0.80231,56161.7
61,AUD,Male,Australia,44,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Other,Fine,Self-employed,Yes,Bachelor's degree,Computer Science,More than 10 years,Python,160000,0.80231,128369.6
62,AUD,Male,Australia,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Other,3 to 5 years,Python,80000,0.80231,64184.8
63,AUD,Male,Australia,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Physics,3 to 5 years,R,70000,0.80231,56161.7
64,AUD,Male,Australia,43,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Electrical Engineering,More than 10 years,SAS,250000,0.80231,200577.5
65,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,Less than a year,Python,155000,0.80231,124358.05
66,AUD,Female,Australia,34,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,A humanities discipline,6 to 10 years,Python,80000,0.80231,64184.8
67,AUD,Male,Australia,28,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,3 to 5 years,Python,130000,0.80231,104300.3
68,AUD,Male,Australia,26,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Python,65000,0.80231,52150.15
69,AUD,Male,Australia,0,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Poorly,Employed by government,Sort of (Explain more),Master's degree,Mathematics or statistics,More than 10 years,R,78000,0.80231,62580.18
70,AUD,Male,Australia,27,Employed full-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,1 to 2 years,R,60000,0.80231,48138.6
71,AUD,Female,Australia,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Mathematics or statistics,6 to 10 years,Python,75000,0.80231,60173.25
