CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD,Density
AED,Female,Egypt,30,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,A health science,6 to 10 years,Java,,0.272256,,261.1
AED,Male,Germany,38,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,,3 to 5 years,R,0,0.272256,0,620.6
AED,Male,Hong Kong,20,Employed part-time,,,Yes,,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,Less than a year,R,1,0.272256,0.272256,18342
AED,Male,Other,42,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,6 to 10 years,R,30000,0.272256,8167.68,0
AED,Male,Other,32,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Other,3 to 5 years,Python,75000,0.272256,20419.2,0
AED,Male,Other,27,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Doctoral degree,Physics,3 to 5 years,Python,260000,0.272256,70786.56,0
AED,Male,Other,33,Employed full-time,,,Yes,,Other,Poorly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Electrical Engineering,1 to 2 years,Python,20000,0.272256,5445.12,0
AED,Male,China,28,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by college or university,Yes,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,Python,5000,0.272256,1361.28,395.5
AED,Male,China,22,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,Less than a year,C/C++/C#,20000,0.272256,5445.12,395.5
AED,Male,China,24,Employed full-time,,,Yes,,Machine Learning Engineer,Poorly,Employed by government,Yes,I did not complete any formal education past high school,,1 to 2 years,Python,0,0.272256,0,395.5
AED,Male,South Africa,38,Employed full-time,,,Yes,,DBA/Database Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,SQL,10000,0.272256,2722.56,125
AFN,Male,India,25,Employed full-time,,,Yes,,DBA/Database Engineer,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Python,10.9,0.01457,0.158813,1190
AFN,Male,Poland,25,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Poorly,Self-employed,,Bachelor's degree,Computer Science,3 to 5 years,,100000,0.01457,1457,320.4
ALL,Male,India,29,Employed part-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Engineering (non-computer focused),Less than a year,R,0,0.008956,0,1190
ALL,Female,India,23,Employed full-time,,,Yes,,Statistician,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Mathematics or statistics,Less than a year,SQL,180000,0.008956,1612.08,1190
ALL,Male,Mexico,45,Employed part-time,,,Yes,,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,Less than a year,Python,1000,0.008956,8.956,170
ALL,Male,China,24,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,Sort of (Explain more),Master's degree,Electrical Engineering,Less than a year,Scala,100,0.008956,0.8956,395.5
ALL,Male,China,25,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,,Master's degree,Mathematics or statistics,Less than a year,Python,,0.008956,,395.5
ALL,Male,China,27,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,12000,0.008956,107.472,395.5
ALL,Male,China,25,Employed full-time,,,Yes,,Machine Learning Engineer,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",Yes,Master's degree,,Less than a year,Python,20000,0.008956,179.12,395.5
AMD,Male,Other,24,Employed full-time,,,Yes,,Statistician,Fine,Employed by government,Sort of (Explain more),Master's degree,Other,1 to 2 years,Stata,3000000,0.00209,6270,0
AMD,Male,Other,29,Employed full-time,,,Yes,,Data Miner,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Physics,Less than a year,Python,4000000,0.00209,8360,0
AMD,Male,United States,45,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by company that makes advanced analytic software,,Master's degree,Mathematics or statistics,More than 10 years,Python,130000,0.00209,271.7,93.16
AMD,Female,United States,27,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Doctoral degree,A social science,3 to 5 years,R,75000,0.00209,156.75,93.16
AMD,Male,United States,40,"Independent contractor, freelancer, or self-employed",,,Yes,,Scientist/Researcher,Poorly,Employed by non-profit or NGO,No,Doctoral degree,Physics,More than 10 years,Other,1E+11,0.00209,209000000,93.16
ARS,Male,Argentina,24,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,247000,0.058444,14435.668,42.37
ARS,Male,Argentina,25,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,24000,0.058444,1402.656,42.37
ARS,Male,Argentina,36,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,"Information technology, networking, or system administration",More than 10 years,R,585000,0.058444,34189.74,42.37
ARS,Male,Argentina,27,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Some college/university study without earning a bachelor's degree,I never declared a major,3 to 5 years,R,40000,0.058444,2337.76,42.37
ARS,Male,Argentina,24,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Python,504000,0.058444,29455.776,42.37
ARS,Male,Argentina,39,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Professional degree,,6 to 10 years,R,1000000,0.058444,58444,42.37
